PERÍODO,EMPRESA,LOCALIDAD,PROVINCIA,INSUMO,"CUPO TOTAL ASIGNADO ","PRODUCCIÓN ","VENTAS TOTALES ","PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA (antes AXION ENERGY ARGENTINA S.A.)","PETROBRAS ARGENTINA S.A.","FOX PETROL S.A.","REFINERÍA DEL NORTE S.A.","SHELL ARGENTINA C.A.P.S.A.","YPF S.A.","ENERGÍA Y DERIVADOS DEL PETRÓLEO S.A.","OIL COMBUSTIBLES S.A.","TRAFIGURA ARGENTINA S.A.","REFI PAMPA S.A."
2012/09/01,"BIO SAN ISIDRO S.A.","CAMPO SANTO",SALTA,"CAÑA DE AZÚCAR",600,"805,6096020214782","686,1781427668983",0,0,0,0,0,"686,18",0,0,0,0
2012/09/01,"BIOENERGÍA LA CORONA S.A.",CONCEPCIÓN,TUCUMÁN,"CAÑA DE AZÚCAR",670,"1354,5041061276058","654,7567909033481",0,0,0,0,0,"654,76",0,0,0,0
2012/09/01,"BIOENERGÍA SANTA ROSA S.A.","LEÓN ROUGES",TUCUMÁN,"CAÑA DE AZÚCAR",1000,"2676,8793430195833","1082,3752368919772","492,1","590,27",0,0,0,0,0,0,0,0
2012/09/01,"BIOETANOL RÍO CUARTO S.A.","RÍO CUARTO",CÓRDOBA,MAÍZ,0,"3372,987997473152","1936,740366392925",0,0,0,0,"699,05","1237,69",0,0,0,0
2012/09/01,"BIOLEDESMA S.A.",LEDESMA,JUJUY,"CAÑA DE AZÚCAR",4083,"3452,6468730259003","3709,298799747315","544,28",0,0,0,"690,16","2113,95","65,9","295,01",0,0
2012/09/01,"BIOTRINIDAD S.A.","VILLA LA TRINIDAD",TUCUMÁN,"CAÑA DE AZÚCAR",1517,"4284,0808591282375","1522,6531901452938",0,0,0,0,0,"1522,66",0,0,0,0
2012/09/01,"COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.","LA FLORIDA",TUCUMÁN,"CAÑA DE AZÚCAR",4000,"3949,791535060013","3841,0107391029687",0,"443,5",0,"537,59",0,"2638,57",0,"221,35",0,0
2012/09/01,"ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.",AGUILARES,TUCUMÁN,"CAÑA DE AZÚCAR",2090,"2266,582438408086","2109,9178774478837","1339,23",0,0,0,"511,69",0,0,259,0,0
2012/09/01,"RÍO GRANDE ENERGÍA S.A.","LA MENDIETA",JUJUY,"CAÑA DE AZÚCAR",1000,"2613,644977890082","986,4434617814277",0,0,0,0,"512,44",474,0,0,0,0
2012/10/01,"ALCONOA S.R.L.","EL TABACAL",SALTA,"CAÑA DE AZÚCAR",4250,"7741,996209728364","4297,005685407455",301,0,0,0,2111,1885,0,0,0,0
